STT,Tên đề,Thời gian,Số người thi,Đánh giá,Số phần,Số câu,URL
1,[GT TASK 1] IELTS GT Writing Sample Pack 1 - Formal Letters,60 phút,12072,38,22 phần thi,22 câu hỏi,https://study4.com/tests/4752/gt-task-1-ielts-gt-writing-sample-pack-1-formal-letters/
2,[GT TASK 1] IELTS GT Writing Sample Pack 1 - Informal Letters,60 phút,4122,9,13 phần thi,13 câu hỏi,https://study4.com/tests/4751/gt-task-1-ielts-gt-writing-sample-pack-1-informal-letters/
3,IELTS General Sample reading test 1,60 phút,63633,66,3 phần thi,40 câu hỏi,https://study4.com/tests/4691/ielts-general-sample-reading-test-1/
4,IELTS General Sample reading test 2,60 phút,19167,33,3 phần thi,40 câu hỏi,https://study4.com/tests/4690/ielts-general-sample-reading-test-2/
5,IELTS General Sample reading test 3,60 phút,11079,10,3 phần thi,40 câu hỏi,https://study4.com/tests/4689/ielts-general-sample-reading-test-3/
6,IELTS General Sample reading test 4,60 phút,7023,6,3 phần thi,40 câu hỏi,https://study4.com/tests/4688/ielts-general-sample-reading-test-4/
7,IELTS General Sample reading test 5,60 phút,7566,11,3 phần thi,40 câu hỏi,https://study4.com/tests/4687/ielts-general-sample-reading-test-5/
8,IELTS General Sample reading test 6,60 phút,5112,12,3 phần thi,40 câu hỏi,https://study4.com/tests/4686/ielts-general-sample-reading-test-6/
9,IELTS General Sample reading test 7,60 phút,5055,14,3 phần thi,40 câu hỏi,https://study4.com/tests/4685/ielts-general-sample-reading-test-7/
10,IELTS General Sample reading test 8,60 phút,4044,8,3 phần thi,40 câu hỏi,https://study4.com/tests/4684/ielts-general-sample-reading-test-8/
11,IELTS General Sample reading test 9,60 phút,3615,11,3 phần thi,40 câu hỏi,https://study4.com/tests/4683/ielts-general-sample-reading-test-9-2/
12,IELTS General Sample reading test 10,60 phút,3969,4,3 phần thi,40 câu hỏi,https://study4.com/tests/4682/ielts-general-sample-reading-test-10-2/
13,IELTS General Sample reading test 11,60 phút,3171,9,3 phần thi,40 câu hỏi,https://study4.com/tests/4681/ielts-general-sample-reading-test-11-2/
14,IELTS General Sample reading test 12,60 phút,3414,4,3 phần thi,40 câu hỏi,https://study4.com/tests/4680/ielts-general-sample-reading-test-12-2/
15,IELTS General Sample reading test 13,60 phút,3591,17,3 phần thi,40 câu hỏi,https://study4.com/tests/4679/ielts-general-sample-reading-test-13-2/
16,IELTS General Sample reading test 14,60 phút,3117,11,3 phần thi,40 câu hỏi,https://study4.com/tests/4678/ielts-general-sample-reading-test-14-2/
17,IELTS General Sample reading test 15,60 phút,4245,10,3 phần thi,40 câu hỏi,https://study4.com/tests/4677/ielts-general-sample-reading-test-15-2/
18,IELTS General Sample reading test 16,60 phút,6939,12,3 phần thi,40 câu hỏi,https://study4.com/tests/4676/ielts-general-sample-reading-test-16-2/
